Column1;lemmas;real phrases;generated phrases
0;"alcalde, no, querer, pagar, flautista";El alcalde no quiso pagar al flautista.;
1;"caer, sal, a, mantel";Cayó sal al mantel.;
2;"ogro, se, ir";El ogro se fue.;
3;"cabritillos, ser, feliz";Los cabritillos fueron felices.;
4;"lobo, querer, comer, lo";El lobo quiere comerlos.;El lobo quiere comer lo
5;"Reyes, mago, ir, camello";Los Reyes magos van en camello.;
6;"caracol, Ramó, no, saber, como, vestir, se";El caracol Ramón no sabe como vestirse;
7;"tomar, este, tomate";Toma este tomate.;
8;"pájaro, nadar, por, mar";El pájaro nada por el mar.;
9;"qué, llevar, cesta, ?";¿Qué llevas en la cesta?;
10;"domingo, de, ramos, ir, ver, borriquita";El domingo de ramos vamos a ver la borriquita.;
11;"lobo, querer, comer, lo";El lobo quiere comerlo.;El lobo quiere comer lo
12;"gato, mirar, pez";El gato mira el pez.;
13;"caracol, se, poner, triste";El caracol se puso triste.;
14;"niños, saltar, cama";Los niños saltan en la cama.;
15;"ogro, tener, un, gallina, mágico";El ogro tenía una gallina mágica.;
16;"dos, coches, chocar, cielo";Dos coches chocan en el cielo.;
17;"Juan, su, mamá, vivir, feliz";Juan y su mamá vivieron felices.;
18;"niños, jugar, parque";Los niños juegan en el parque.;
19;"papá, comprar, supermercado";El papá compra en el supermercado.;
20;"lechera, ser, niña, alegre, soñador";La lechera era una niña alegre y soñadora.;
21;"su, madre, la, encontrar, llorar";Su madre la encontró llorando.;
22;"niña, subir, escalera";La niña sube a la escalera.;
23;"burro, caer, barro";La burra cayó al barro.;
24;"quién, ser, más, guapo, ?";¿quién es la más guapa?;
25;"lobo, ir, molino";El lobo va al molino.;
26;"ser, ver, te, bien";Son para verte bien.;
27;"este, ser, tres, cerditos";Estos son los tres cerditos.;
28;"yo, jugar, parque, con, niños";Yo juego en el parque con los niños.;
29;"papá, oso, coger, plato, grande";Papá oso coge el plato grande.;El oso cogió el plato grande
30;"cabritillos, no, abrir, puerta";Los cabritillos no abren la puerta.;Los cabritillos no abrir puerta
31;"niño, montar, en, cerdo";El niño monta en el cerdo.;El niño monta en cerdo
32;"perro, pasear, collar";El perro pasea con el collar.;El perro pasear con collar
33;"Ricitos, de, Oro, estar, cansadi";Ricitos de Oro está cansada.;Ricitos de oro estar cansadi
34;"yo, me, bañar, agua, con, jabón";Yo me baño con agua y con jabón.;
35;"tren, ir, carretera";El tren va por la carretera.;El tren va por carretera
36;"niño, se, subir, rocas";El niño se sube a las rocas.;El niño se subirá a las rocas
37;"chica, merendar, bocadillo, chorizo, leche";La chica merienda bocadillo de chorizo y leche.;La chica merenda el bocadillo, el chorizo, la leche
38;"Imanol, ir, hotel";Imanol va al hotel.;Ir a hotel
39;"Luis, estar, un, poco, loco";Luis está un poco loco.;Luis está poco loco
40;"cerdito, ir, jugar";El cerdito va a jugar.;El niño se ha juega con el perro.
41;"tener, pata, blanco, como, mamá";Tiene la pata blanca como mamá.;La mamá tiene una pata blanca como mamá
42;"niño, mirar, mariposa, con, lupa";El niño mira la mariposa con la lupa.;El niño mira a mariposa con una lupa
43;"niño, escuchar, gato";El niño escucha el gato.;El niño escucha al gato
44;"caballo, correr, mar";El caballo corre en el mar.;El caballo corre mar.
45;"vaca, querer, estudiar, escuela";La vaca quería estudiar en la escuela.;Vaca quiere estudiar en la escuela
46;"papá, nadar, piscina";Papá nada en la piscina.;El papá nadó en la piscina
47;"Blancanieves, correr, bosque";Blancanieves corre al bosque.;El niño corrido por el bosque.
48;"burro, saludar, ratita";El burro saluda a la ratita.;El burro saludó a ratita
49;"tren, ir, mar";El tren va por el mar.;El tren va a mar
50;"Dorita, vivir, un, granja, con, su, tíos, su, perrito, Totó";Dorita vivía en una granja con sus tíos y su perrito Totó.;
51;"abuelita, qué, ojos, grande, tener";Abuelita qué ojos grandes tienes.;abuelita, qué, ojos, grande, tener
52;"bebé, jugar, parquet";El bebé juega en el parquet.;El bebé juega con el parquet.
53;"niña, nadar, biblioteca";La niña nada en la biblioteca.;La niña nadó en la biblioteca
54;"niño, jugar, con, barco";El niño juega con el barco.;niño jugar con barco
55;"Juan, cambiar, vaca, por, habichuelas, mágico";Juan cambió la vaca por habichuelas mágicas.;Juan cambiar por hachuelas magicos
56;"gato, dormir, encima, guitarra";El gato duerme encima de la guitarra.;
57;"niños, jugar, construcciones";Los niños juegan con las construcciones.;Los niños construyen casas
58;"niños, jugar, con, pelota";Los niños juegan con la pelota.;Los niños jugar con pelota
59;"bola, ser, como, pelota";La bola es como una pelota.;La pelota se como bola.
60;"mamá, pato, pasear, su, hijos";Mamá pato paseaba con sus hijos.;mamá pasear su hijo
61;"ogro, se, caer";El ogro se cayó.;El ogro se caer
62;"cerditos, no, tener, dónde, esconder, se";Los cerditos no tienen dónde esconderse.;Los cerditos no tener dónde esconder se.
63;"rana, subir, rama";La rana subió a la rama.;"La raña subrama
Phrase inversa: La raña subrama
Phrase inversa inversa: La raña subrama
Phrase inversa inversa: La ra"
64;"gato, comer, ratatita";El gato come a la ratita.;El gato comera a ratita
65;"quién, ser, más, guapo, ?";¿Quién es la más guapa?;¿Quién ser más guapo?
66;"gallina, poner, huevos, de, oro";La gallina ponía huevos de oro.;"La gallina pone huevos de oro

Translation: La gallina pone huevos de oro"
67;"niña, jugar, con, piedras";La niña juega con las piedras.;niña jugar con piedras
68;"maleta, estar, en, salón";La maleta está en el salón.;La maleta está en el salón
69;"niño, pasear, calle";El niño pasea por la calle.;El niño pasear en la calle
70;"solo, estudiar, vaca";Solo estudiaba la vaca.;"Solo estudiar vaca
Phrase inversa: Vaca estudiar solo
Phrase inversa inversa: Solo estudiar Vaca
Phrase inversa inversa: Vaca estudiar solo
Phrase inversa inversa"
71;"niño, mirar, estrellas, con, telescopio";El niño mira las estrellas con el telescopio.;niño mirar estrellas con telescopio
72;"tener, un, vaca, viejo";Tenían una vaca vieja.;Un viejo tiene una vaca
73;"niña, escribir, con, lápiz, en, papel";La niña escribe con un lápiz en el papel.;La niña escribe con lápiz en papel
74;"ruiseñor, cantar, rama";El ruiseñor canta en la rama.;El ruiseñor canta en la rama
75;"niña, entrar, tren";La niña entra al tren.;La niña entra en tren
76;"arpa, producir, diamantes";El arpa produjo diamantes.;"La arpa produce diamantes
Translation: La arpa produce diamantes"
77;"niñas, correr, cometa";Las niñas corren con la cometa.;las niñas correr cometa
78;"lobo, dormir";El lobo dormía.;"El lobo duerme
Phrase inversa: El duerme lobo
Phrase inversa inversa: El duerme lobo
Phrase inversa inversa: El duerme lobo
Phrase inversa inversa inversa"
79;"niño, ir, panadería";Niño va a la panadería.;niño ir panadería
80;"ir, casa, mío, abuela";Voy a casa mi de abuela.;Mi casa está al lado de la casa de la abuela.
81;"a, dónde, ir, Caperucita";¿A dónde vas Caperucita?;"La caperucita dónde ir
Phrase inversa: La caperucita dónde ir
Phrase inversa inversa: La caperucita dónde ir"
82;"lobo, llamar, puerta";El lobo llamó a la puerta.;El lobo llama a puerta
83;"Marcelina, salir, buscar, los";Marcelina sale a buscarlos.;"Marcelina sale a buscar los
Phrase inversa: Los buscos marcianas sale a buscar
Phrase inversa inversa: Los buscos marcianas sale a"
84;"mamá, cortar, barriga, de, lobo";Mamá corta la barriga del lobo.;"mamá cortó la barriga de lobo
Phrase inversa: lobo de la
Phrase inversa: lobo de la
Phrase inversa: lobo de la"
85;"querer, jugar, con, fuego";Yo quiero jugar con el fuego.;Quieres jugar con fuego
86;"dos, niños, correr, mucho";Los dos niños corren mucho.;Los niños corren mucho
87;"ogro, bajar, planta";El ogro bajó por la planta.;
88;"niña, llevar, paraguas";La niña lleva un paraguas.;
